,artist,song,genres,year,key,mode,duration,bpm
6108,Bob Dylan,The Man in Me,Rock,1970,G♯/A♭,major,3:06,145BPM
6109,Joni Mitchell,Don't Interrupt the Sorrow,Rock,1975,,,,
6110,Radio Birdman,I-94,Rock,1976,A,minor,3:37,176BPM
6111,Kevin Coyne,Eastbourne Ladies,Rock,1973,F♯/G♭,major,4:39,137BPM
6112,Pure Prairie League,Amie,Rock,1972,A,major,4:21,89BPM
6113,Free,Ride on a Pony,Rock,1970,A,major,4:19,132BPM
6114,Neil Young,"Oh, Lonesome Me",Rock,1970,A,major,4:00,119BPM
6115,The Ritchie Family,The Best Disco in Town,Dance,1976,G♯/A♭,major,6:41,121BPM
6116,Robert Palmer,Every Kinda People,Pop,1978,F♯/G♭,major,3:16,94BPM
6117,Rodriguez,Crucify Your Mind,Rock,1970,A,major,2:29,87BPM
6118,Jeff Beck,Goodbye Pork Pie Hat,Rock,1976,C,minor,5:30,115BPM
6119,Kraftwerk,Europa Endlos/Europe Endless,Pop,1977,,,,
6120,Supertramp,Fool's Overture,Rock,1977,,,,
6121,The J. Geils Band,Give It to Me,Rock,1973,C,major,6:30,118BPM
6122,Bruce Springsteen,The E Street Shuffle,Rock,1973,C,major,4:27,131BPM
6123,The Rolling Stones,Little Queenie,Rock,1970,,,,
6124,Hubert-Félix Thiéfaine,La fille du coupeur de joints,Pop,1978,B,minor,3:54,111BPM
6125,Janis Joplin,Cry Baby,Rock,1971,C,major,3:57,84BPM
6126,XTC,Life Begins at the Hop,Rock,1979,G,major,3:47,138BPM
6127,Jackson Browne,These Days,Rock,1973,F,major,4:45,138BPM
6128,James Taylor,Shower the People,Pop,1976,D,minor,4:32,98BPM
6129,Dinosaur,Kiss Me Again,Dance,1978,C,minor,13:05,127BPM
6130,Led Zeppelin,That's the Way,Rock,1970,,,,
6131,Pink Floyd,Welcome to the Machine,Rock,1975,C,major,7:32,133BPM
6132,Black Sabbath,Planet Caravan,Rock,1970,,,,
6133,Arco Iris,Mañana Campestre,Rock,1971,G,major,2:50,88BPM
6134,Bob Seger,Beautiful Loser,Rock,1975,G,major,3:27,118BPM
6135,Paul McCartney,Junk,Pop,1970,A,major,1:57,90BPM
6136,Little Feat,Long Distance Love,Rock,1975,G,major,2:43,114BPM
